date,product,quantity,price,category
2026-06-26,Widget B,60,15.0,Accessories
2026-06-26,Widget C,19,45.0,Gadgets
2026-06-26,Widget D,14,80.0,Hardware
2026-06-27,Widget A,46,25.0,Electronics
2026-06-27,Widget B,66,15.0,Accessories
2026-06-27,Widget C,25,45.0,Gadgets
2026-06-27,Widget D,15,80.0,Hardware
2026-06-28,Widget A,42,25.0,Electronics
2026-06-28,Widget B,77,15.0,Accessories
2026-06-28,Widget C,30,45.0,Gadgets
2026-06-28,Widget D,14,80.0,Hardware
2026-06-29,Widget A,26,25.0,Electronics
2026-06-29,Widget B,38,15.0,Accessories
2026-06-29,Widget C,18,45.0,Gadgets
2026-06-29,Widget D,11,80.0,Hardware
2026-06-30,Widget A,30,25.0,Electronics
2026-06-30,Widget B,40,15.0,Accessories
2026-06-30,Widget C,20,45.0,Gadgets
2026-06-30,Widget D,10,80.0,Hardware
2026-07-01,Widget A,26,25.0,Electronics
2026-07-01,Widget B,51,15.0,Accessories
2026-07-01,Widget C,20,45.0,Gadgets
2026-07-01,Widget D,8,80.0,Hardware
2026-07-02,Widget A,31,25.0,Electronics
2026-07-02,Widget B,54,15.0,Accessories
2026-07-02,Widget C,23,45.0,Gadgets
2026-07-02,Widget D,11,80.0,Hardware
2026-07-03,Widget A,49,25.0,Electronics
2026-07-03,Widget B,85,15.0,Accessories
2026-07-03,Widget C,38,45.0,Gadgets
2026-07-03,Widget D,19,80.0,Hardware
2026-07-04,Widget A,71,25.0,Electronics
2026-07-04,Widget B,143,15.0,Accessories
2026-07-04,Widget C,47,45.0,Gadgets
2026-07-04,Widget D,24,80.0,Hardware
2026-07-05,Widget A,47,25.0,Electronics
2026-07-05,Widget B,77,15.0,Accessories
2026-07-05,Widget C,28,45.0,Gadgets
2026-07-05,Widget D,15,80.0,Hardware
2026-07-06,Widget A,26,25.0,Electronics
2026-07-06,Widget B,48,15.0,Accessories
2026-07-06,Widget C,18,45.0,Gadgets
2026-07-06,Widget D,10,80.0,Hardware
2026-07-07,Widget A,40,25.0,Electronics
2026-07-07,Widget B,35,15.0,Accessories
2026-07-07,Widget C,22,45.0,Gadgets
2026-07-07,Widget D,7,80.0,Hardware
2026-07-08,Widget A,27,25.0,Electronics
2026-07-08,Widget B,58,15.0,Accessories
2026-07-08,Widget C,20,45.0,Gadgets
2026-07-08,Widget D,8,80.0,Hardware
2026-07-09,Widget A,26,25.0,Electronics
2026-07-09,Widget B,55,15.0,Accessories
2026-07-09,Widget C,17,45.0,Gadgets
2026-07-09,Widget D,10,80.0,Hardware
2026-07-10,Widget A,30,25.0,Electronics
2026-07-10,Widget B,45,15.0,Accessories
2026-07-10,Widget C,26,45.0,Gadgets
2026-07-10,Widget D,10,80.0,Hardware
2026-07-11,Widget A,34,25.0,Electronics
2026-07-11,Widget B,73,15.0,Accessories
2026-07-11,Widget C,27,45.0,Gadgets
2026-07-11,Widget D,15,80.0,Hardware
2026-07-12,Widget A,39,25.0,Electronics
2026-07-12,Widget B,71,15.0,Accessories
2026-07-12,Widget C,30,45.0,Gadgets
2026-07-12,Widget D,15,80.0,Hardware
2026-07-13,Widget A,24,25.0,Electronics
2026-07-13,Widget B,47,15.0,Accessories
2026-07-13,Widget C,18,45.0,Gadgets
2026-07-13,Widget D,9,80.0,Hardware
2026-07-14,Widget A,37,25.0,Electronics
2026-07-14,Widget B,53,15.0,Accessories
2026-07-14,Widget C,16,45.0,Gadgets
2026-07-14,Widget D,11,80.0,Hardware
2026-07-15,Widget A,39,25.0,Electronics
2026-07-15,Widget B,57,15.0,Accessories
2026-07-15,Widget C,15,45.0,Gadgets
2026-07-15,Widget D,9,80.0,Hardware
2026-07-16,Widget A,35,25.0,Electronics
2026-07-16,Widget B,44,15.0,Accessories
2026-07-16,Widget C,21,45.0,Gadgets
2026-07-16,Widget D,11,80.0,Hardware
2026-07-17,Widget A,25,25.0,Electronics
2026-07-17,Widget B,49,15.0,Accessories
2026-07-17,Widget C,10,45.0,Gadgets
2026-07-17,Widget D,8,80.0,Hardware
2026-07-18,Widget A,42,25.0,Electronics
2026-07-18,Widget B,63,15.0,Accessories
2026-07-18,Widget C,33,45.0,Gadgets
2026-07-18,Widget D,12,80.0,Hardware
2026-07-19,Widget A,41,25.0,Electronics
2026-07-19,Widget B,73,15.0,Accessories
2026-07-19,Widget C,33,45.0,Gadgets
2026-07-19,Widget D,12,80.0,Hardware
2026-07-20,Widget A,35,25.0,Electronics
2026-07-20,Widget B,50,15.0,Accessories
2026-07-20,Widget C,17,45.0,Gadgets
2026-07-20,Widget D,10,80.0,Hardware
2026-07-21,Widget A,30,25.0,Electronics
2026-07-21,Widget B,45,15.0,Accessories
2026-07-21,Widget C,20,45.0,Gadgets
2026-07-21,Widget D,9,80.0,Hardware
2026-07-22,Widget A,30,25.0,Electronics
2026-07-22,Widget B,54,15.0,Accessories
2026-07-22,Widget C,24,45.0,Gadgets
2026-07-22,Widget D,8,80.0,Hardware
2026-07-23,Widget A,39,25.0,Electronics
2026-07-23,Widget B,35,15.0,Accessories
2026-07-23,Widget C,19,45.0,Gadgets
2026-07-23,Widget D,10,80.0,Hardware
2026-07-24,Widget A,31,25.0,Electronics
2026-07-24,Widget B,45,15.0,Accessories
2026-07-24,Widget C,19,45.0,Gadgets
2026-07-24,Widget D,9,80.0,Hardware
2026-07-25,Widget A,40,25.0,Electronics
2026-07-25,Widget B,78,15.0,Accessories
2026-07-25,Widget C,30,45.0,Gadgets
2026-07-25,Widget D,13,80.0,Hardware
2026-07-26,Widget A,47,25.0,Electronics
2026-07-26,Widget B,74,15.0,Accessories
2026-07-26,Widget C,31,45.0,Gadgets
2026-07-26,Widget D,15,80.0,Hardware
2026-07-27,Widget A,26,25.0,Electronics
2026-07-27,Widget B,45,15.0,Accessories
2026-07-27,Widget C,22,45.0,Gadgets
2026-07-27,Widget D,10,80.0,Hardware
2026-07-28,Widget A,29,25.0,Electronics
2026-07-28,Widget B,50,15.0,Accessories
2026-07-28,Widget C,23,45.0,Gadgets
2026-07-28,Widget D,9,80.0,Hardware
2026-07-29,Widget A,32,25.0,Electronics
2026-07-29,Widget B,48,15.0,Accessories
2026-07-29,Widget C,19,45.0,Gadgets
2026-07-29,Widget D,11,80.0,Hardware
2026-07-30,Widget A,33,25.0,Electronics
2026-07-30,Widget B,56,15.0,Accessories
2026-07-30,Widget C,23,45.0,Gadgets
2026-07-30,Widget D,10,80.0,Hardware
2026-07-31,Widget A,33,25.0,Electronics
2026-07-31,Widget B,47,15.0,Accessories
2026-07-31,Widget C,20,45.0,Gadgets
2026-07-31,Widget D,9,80.0,Hardware
2026-08-01,Widget A,43,25.0,Electronics
2026-08-01,Widget B,76,15.0,Accessories
2026-08-01,Widget C,26,45.0,Gadgets
2026-08-01,Widget D,17,80.0,Hardware
2026-08-02,Widget A,38,25.0,Electronics
2026-08-02,Widget B,63,15.0,Accessories
2026-08-02,Widget C,32,45.0,Gadgets
2026-08-02,Widget D,15,80.0,Hardware
2026-08-03,Widget A,32,25.0,Electronics
2026-08-03,Widget B,54,15.0,Accessories
2026-08-03,Widget C,19,45.0,Gadgets
2026-08-03,Widget D,8,80.0,Hardware
2026-08-04,Widget A,30,25.0,Electronics
2026-08-04,Widget B,44,15.0,Accessories
2026-08-04,Widget C,22,45.0,Gadgets
2026-08-04,Widget D,9,80.0,Hardware
2026-08-05,Widget A,26,25.0,Electronics
2026-08-05,Widget B,47,15.0,Accessories
2026-08-05,Widget C,21,45.0,Gadgets
2026-08-05,Widget D,9,80.0,Hardware
2026-08-06,Widget A,26,25.0,Electronics
2026-08-06,Widget B,51,15.0,Accessories
2026-08-06,Widget C,20,45.0,Gadgets
2026-08-06,Widget D,9,80.0,Hardware
2026-08-07,Widget A,27,25.0,Electronics
2026-08-07,Widget B,51,15.0,Accessories
2026-08-07,Widget C,15,45.0,Gadgets
2026-08-07,Widget D,7,80.0,Hardware
2026-08-08,Widget A,40,25.0,Electronics
2026-08-08,Widget B,70,15.0,Accessories
2026-08-08,Widget C,29,45.0,Gadgets
2026-08-08,Widget D,16,80.0,Hardware
2026-08-09,Widget A,47,25.0,Electronics
2026-08-09,Widget B,71,15.0,Accessories
2026-08-09,Widget C,28,45.0,Gadgets
2026-08-09,Widget D,12,80.0,Hardware
2026-08-10,Widget A,29,25.0,Electronics
2026-08-10,Widget B,47,15.0,Accessories
2026-08-10,Widget C,20,45.0,Gadgets
2026-08-10,Widget D,8,80.0,Hardware
